ID,Clan Tag,Clan Name
500174060,NNGF,No Need To Go Further
500070829,NR-V,Les Enervés !
500161141,NVWS,NVWS : No Victory Without Sacrifice
500003716,NWBOT,NewBøt
500205697,O-P-H,L'Ordre Prétorien d'Hadès
500138049,O2VM,On Va Vous Mickey
500062609,OBK,ORPHAN BLACK
500033431,OBUS,batel map
500015777,OFS,Operation Force Special
500064003,OF_FR,L´ordre des faucheurs français
500136232,ORA,Organisation de Résistance de l'Armée
500212716,OZAMI,o_zami
500074408,P-L-S,Polygames
500015283,P-P-S,Les Petits Poneys Sanglants
500035426,P38,=Free Tanks=
500214957,PAM-A,Confrérie de la Sainte Patate (A)
500215006,PAM-B,Confrérie de la Sainte Patate (B)
500215094,PAM-C,Confrérie de la Sainte Patate (C)
500189202,PAM-D,Confrérie de la Sainte Patate (D)
500217258,PAM-E,Confrérie de la Sainte Patate (E)
500071307,PARAB,IN PARABELLUM
500136120,PEGI7,PEGI7
500010063,PGFFC,Pleasures Games For French Company
500166793,PHOK,PHOK the Karma
500020360,PLF,Pour le fun
500016758,PORC,La Porcherie
500163191,POUET,Pet d'Oursin Usagé Emanant d'un Tacos
500043454,POULE,Chick-Team
500055389,PR3D2,PREDATOR2
500175986,PTFD,PANTOUFLARD
500042530,PW-FR,PW-FR
500060632,PZ-S,501st Panzer Squad
500156330,PZJ-D,PanzerJäger Division
500161530,QBC,Les Querelleurs en Bat.-Chat
500032001,R-CAT,Les suricates [R]
500059133,R-E-P,LES R-E-P
500180299,R-I-A,5ème R-I-A-O-M
500075816,R-W-F,The Red Wolfs French
500071243,R0TI,"Toujours saignant, souvent à point, meilleur bien cuit."
500172249,RAB-,RIEN A BRANLER
500145751,RAF-H,Special Forces RAF-HMU
500245570,RAVFR,RaVen's
500072723,RAZ1R,The Team RAZ3R-I
500159243,RAZ3R,Team RAZ3R Revive
500143725,RB-FR,Régiment de Blindés Français
500027137,RBLFR,Régiment de Blindés Libre Français
500053652,RCF,Régiment de chars francophone
500137452,RCLF,Régiment des chars libres français
500155839,RECT0,RECTO - VERSO
500134970,REG,VAINCRE OU MOURIR
500069089,RF-FR,Rapid Fire FR
500026834,RHIN0,38ème BCC
500217684,RIIP,Qu'il/elle repose en paix
500054533,RIPRO,Rusé Insoumis professionnels Respectables Omerta
500192466,RTFR,Régiment de Tankistes Français
500213897,RVGD,RaVaGeD : The Era of Drama
500027236,RZBK,Razorback
500182762,S-C-F,Sans Clan Fixe
500180081,S4BRE,4ème Hussard
500057067,SAOR,Soldats Alliés aux Obus Ravageurs
500159235,SCOR-,Les. SCORPIONS
500052284,SCT,Le Sanctuaire !
500045116,SF-FR,Semper-fi [FR]
500203129,SFSL,Sang Froid Sans Lois
500066575,SGNR,Les Sanguinaires
500030712,SINGE,Sans Intelligence Ni Grosse Ecoute
500145981,SIPN,Siema Immigrés Polskis Naturistes
500205547,SK0LL,IN SK0LL WE TRUST !
500071409,SKUD,Consortium Soviétique de Haute Technologie Militaire
500178259,SKYNE,Skystone
500155451,SLMDR,les salamandres
500068991,SNCF_,Sans Nous C'est Foutu
500149099,SNPAI,Notice me Senpai
500066101,SNU,Shēdingu
500156525,SOAD,Sons Of A Death
500015295,SOFG,SPIRIT OF GAMERS
500157034,SPAR-,SPARTIATE team fr
500066063,SPDT,S.P.D.T
500063803,SPH1X,The power of the Sphinx...
500005918,SRE,Suisse Empire
500059545,SSM,Sauvons le Soldat Mignon
500062964,STLKN,_~°SteelKnight°~_
500031903,SUBX,SUBMARINE
500027036,SURI4,[ Les suricates ]
500208114,SURYA,Surya
500160092,S_PQR,Senatus_Populus Que Romanus
500050425,T-I-C,The Incredible Couillu
500020096,T-SK,Savoie-Killers
500174269,T-WIX,TWIX
500018884,T03,TANKER0303
500024817,T0XYC,TOXYC CAT 2
500055669,TBMW,Team Black Mamba Warriors
500063455,TBT8,The Black Tank
500045845,TB_FR,TANKBUSTERS FRANCE
500178641,TCOTR,the call of the revenge
500039643,TEAM_,I Have A Dream
500051412,TFC,The French Clan
500074084,TFOFS,THE FURY OF SHARKS
500061021,TFTK,The Furious TanKists
500013095,TGW,The Great Warriors
500142765,TK_FR,Tankistes Rebelles
500058561,TL-FR,TankLegends
500031313,TP-G,Taupe gun
500149202,TPH-,Tuer Pour l'Honneur
500173131,TPYS,The Poulpy's Squad
500069163,TRNR,The Rock N Roll Régiment
500065884,TSF_X,Les Tankistes sans frontière
500158711,TUCHE,LesTuche.FR
500067359,TURON,TURON
500045611,T_D_C,les Tankistes Du Chaos
500012761,T_N_T,The Noob Team
500031400,T__R,Tigres_Rouges
500045643,U-BMF,Union Blindé Militaire Francophone
500051423,U-F-T,Union Française de Tankistes
500056199,U-TEA,_United-Team_
500174509,UCAF,Unité Chars d'Assaut Français
500009354,UFS,United French Soldiers
500053583,UKN-A,Unknown Army
500057709,ULTB,Ultimate Banana
500222026,ULTI,Ultimate Throwers !
500180916,U_S_B,Un Stylo Bic
500029623,VDF,VOL DE FRAG
500016039,VGX,VIEUX GRINCHEUX
500142168,VL-FR,Vieux Loups Français
500073221,VLAIN,LES VILAINS
500193111,VNISH,V a n i s h
500056768,VNOM,Inject The Venom
500068226,W-T-P,WoT The Phoques
500173552,W0RTH,Semper Fidelis!
500047067,W1NE,On boira du lait quand les vaches mangeront du raisin
500075418,WARFU,Warsong Fury
500020258,WATTS,wattclan
500018384,WFT,White Fire Team
500024401,WH-E,What Else
500051651,WH-EA,LES WHITE EAGLES
500148616,WHIMA,WHITE-MAMBA
500176306,WISP,Unreal as a will-o'-the-wisp
500005597,WLF,Wolf-s
500071826,WLY,we love youaaaa
500153208,WOMS,Wot Of Music
500159347,WONKA,Willy Wonka Official
500074615,WOTIG,Warriors on tiger
500023717,WWAD,We Will All Die !!!
500143851,WYVRN,NEVER SURRENDER !
500141650,W___N,Why_Not
500063385,XTGRX,The Ghost Rider
500180572,Y-_-Y,LES T1T4NS
500213849,YODY,YODARMY
500173140,ZAR0X,ZAR0X SquaD
500159775,ZAROX,ZaRoX SquaD
500066643,ZENIT,Zénith
500007029,ZORGY,La Dolphin Squad
500026717,ZTT,=Zone-Tribale=
500135230,ZUT,Clan Français
500197228,_ADN,Alliance Du Nord
500068286,_AEF_,A-E-F international_FR
500181488,_BFR_,Brigade-Française-Révolutionnaire
500201198,_CEF_,Corps Expéditionnaire Francophone
500239273,_DIB_,Déchets Inertes Batiment
